지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
90,속초,2015-12-27,-3,-5.5,2122,-.5,1235,,,,,,,7.2,340,28,3.9,340,23,1.9,1613,320,-15.4,13,2350,39.9,2,1025.9,1029.6,1038,1024.3,1,1028.2,9.5,6.9,,,,,,,,,,,-.2,-10,,,,,,,,,,,,,,
90,속초,2015-12-28,-2.5,-7.2,448,1.6,1330,,,,,,,10.5,290,1242,5.8,290,1234,2.1,1803,290,,,,,,1025.8,1029.9,2302,1026.8,512,1028.1,9.5,8.9,,,,,,,,,,,-2,-11.1,,,,,,,,,,,,,,
90,속초,2015-12-29,-.1,-6.4,309,5.7,1522,,,,,,,7.1,290,1237,3.3,360,1150,1.3,1103,270,,17,1643,,,1027.2,1030.3,2255,1028.1,1357,1029.5,9.5,8,,,,,,,,,,,-1.3,-10.9,,,,,,,,,,,,,,
90,속초,2015-12-30,2.4,-2.6,428,6.5,1319,,,,,,,5.1,270,124,2.8,160,1524,1.1,936,290,-6.1,37,1340,54.1,3.9,1025.4,1030.1,156,1025.6,2316,1027.7,9.5,7,,,,,,,,,,,.8,-6.4,,,,,,,,,,,,,,
90,속초,2015-12-31,2,-1.4,2400,5.2,1412,,,,,,0,7.8,360,1143,5.1,360,1151,1.9,1605,340,-2.1,45,2227,75.6,5.4,1026,1029.8,2026,1025.3,58,1028.3,9.6,3.3,,,,,,,,,,,2.1,-6.9,,,,,,,,,,,,,,
95,철원,2015-12-27,-7.9,-12.2,2339,-1.8,1516,,,,,,,4.6,200,1645,2.8,360,1,.8,702,20,-15.7,24,1649,57.8,1.9,1010.8,1034.1,2327,1026.5,1,1031,9.5,8.3,,,,,,,,,,,-4,-15.6,,,,,,,,,,,,,,
95,철원,2015-12-28,-9.6,-15.2,753,-2.5,1449,,,,,,,6.1,270,1527,3.6,200,1257,.9,741,50,-18.3,15,1537,56.3,1.5,1013.7,1035.6,2357,1032.4,1343,1034.1,9.5,8.3,,,,,,,,,,,-6,-17.5,,,,,,,,,,,,,,
95,철원,2015-12-29,-6.7,-14.9,702,1.3,1545,,,,,,,4.9,160,1417,2.4,160,1418,.5,416,70,-14.9,21,1544,57.3,2,1013.9,1036.1,436,1031.9,1435,1034,9.6,8.2,,,,,,,,,,,-5.1,-18.1,,,,,,,,,,,,,,
95,철원,2015-12-30,-1,-5.6,750,4.7,1306,,,,,,1.6,6.7,250,1716,4,200,1723,.7,642,180,-5.8,41,1255,72,4.1,1009.6,1032.8,1,1026.5,1606,1029.2,9.5,3.7,,,,,,,,,,,-.9,-9.2,,,,,,,,,,,,1.6,,
95,철원,2015-12-31,-1,-5.9,2342,1.6,1546,,,,,,0,3.2,160,1608,1.8,160,1609,.4,364,50,-2.4,70,1548,90.1,5.2,1011.5,1034.4,2315,1027.2,1,1031.1,9.6,.4,,,,,,,,,,,-.2,-9.6,,,,,,,,,,,,,,
