"소재지(시군구)별",2016,2017,2018,2019,2020,2021,2022,2023,2024
"전국",17609522529,17635879004,17788926660,17763339465,17769135370,17786546574,17791754999,17589843385,17639470771
"서울특별시",606114295,605597491,605569314,605512630,605680193,605680264,605672952,605673772,605748896
"부산광역시",940825056,940825056,940825058,940825058,940825055,940825971,940844566,940825056,940825056
"대구광역시",797969025,798003179,797919337,799328917,799299015,799509757,801033747,808195732,808209312
"인천광역시",580154144,580144347,579740346,529642905,529650659,529699653,527855326,512816173,513676030
"광주광역시",481554450,480047663,480053767,480002734,480081726,479978979,479890096,479838049,479818783
"대전광역시",495546287,495546171,495818299,496123890,496123890,496123890,496123890,496123890,496123742
"울산광역시",755545355,755551876,755545356,755545353,761731893,764204857,764212886,671649337,677663085
"세종특별자치시",140971433,141468621,142715907,142715907,142495482,143324836,141833041,141833041,142568912
"경기도",3367486105,3371075153,3376013136,3377274307,3378712218,3385441488,3386898994,3370827754,3397055790
"강원특별자치도",1027198470,1027228237,1028778399,1028522877,1029687366,1030004376,1030008274,1004738631,1005224851
"충청북도",729047038,731347938,731003419,735737985,736252276,737094363,738111394,745234827,749682557
"충청남도",905131392,903897573,904905818,908086503,909043093,912069919,919129887,921188502,925747110
"전북특별자치도",885721699,886474119,886474119,886379912,885633881,885638790,884641960,884488242,884608380
"전라남도",1697909454,1698905643,1718429832,1718458198,1719363436,1720423117,1720488398,1655892649,1659834157
"경상북도",1855416781,1856748798,1866786485,1879985260,1879972483,1879078335,1877732907,1870996639,1871445830
"경상남도",1889759767,1892605781,2007719820,2008568781,2004845346,2007710621,2007539323,2009783733,2008982154
"제주특별자치도",453171778,470411358,470628248,470628248,469737358,469737358,469737358,469737358,472256126
