시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지 주소,주차대수,공-사설 구분,허가면적,묘역면적,총매장능력,식당,매점,주차장,유족대기실,장애인편의시설
서울특별시,서울특별시,내곡리묘지,경기도 남양주시 진접읍 내곡리 558-3,031-434-3337,,,0,공설,218745,218745,6900,미설치,미설치,미설치,미설치,미설치
서울특별시,중랑구,망우역사문화공원,"서울특별시 중랑구 망우로91길 2 (망우동, 중랑망우공간)",02-496-8976,,manguripark.or.kr,28,공설,785554,0,47631,미설치,설치,설치,미설치,미설치
서울특별시,서울특별시,벽제리묘지,경기도 고양시 덕양구 보광로 193-2 (벽제동),031-964-3443,,www.memorial-zone.or.kr,4,공설,195479,116919,5846,설치,설치,설치,설치,설치
서울특별시,서울특별시,용미리제1묘지,"경기도 파주시 광탄면 명봉산로262번길 290 (용미리, 용미1리1묘지공원안내실)",031-943-1930,,www.memorial-zone.or.kr,100,공설,212886,212886,1200,설치,설치,설치,설치,설치
서울특별시,서울특별시,용미리제2묘지,"경기도 파주시 광탄면 진지로 151 (용미리, 추모의집)",031-943-3937,,www.memorial-zone.or.kr,100,공설,199980,198347,12000,설치,설치,설치,설치,설치
서울특별시,도봉구,혜화동성당 도봉동묘원,서울특별시 도봉구 도봉동 산66-9,02-764-0221,02-3672-1197,www.hyehwa.org/cemetery/cemetery.asp?goCemetery=3,0,사설,15000,10678,600,미설치,미설치,설치,미설치,미설치
서울특별시,도봉구,혜화동성당 방학동묘원,서울특별시 도봉구 방학동 산65-1,02-764-0221,02-3672-1197,www.hyehwa.org/cemetery/cemetery.asp?goCemetery=2,0,사설,159232,71784,6682,미설치,미설치,설치,미설치,미설치
부산광역시,기장군,(재)실로암공원묘원,"부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)",051-721-5115,051-722-1268,www.siloami.com,0,사설,479277,196827,0,미설치,설치,설치,미설치,설치
부산광역시,기장군,대정공원묘원,"부산광역시 기장군 정관읍 양수길 76 (용수리, 대정공원묘원관리소)",051-728-4949,,,0,사설,203354,203354,11274,미설치,설치,설치,미설치,미설치
부산광역시,기장군,백운공원묘원 제1묘원,부산광역시 기장군 정관읍 정관로 165 (두명리),051-508-2934,,,50,사설,118413,118215,4792,미설치,미설치,설치,미설치,미설치
부산광역시,기장군,백운공원묘원 제2묘원,"부산광역시 기장군 정관읍 양수1길 17-5 (모전리, 백운묘원관리소)",051-727-3188,,,50,사설,126888,126888,7934,미설치,미설치,설치,미설치,미설치
부산광역시,금정구,부산영락공원묘지,"부산광역시 금정구 금정도서관로 108 (두구동, 영락공원)",051-790-5000,051-508-6024,yeongnakpark.bisco.or.kr/burial/burial01/index.asp,0,공설,5,750932,29021,설치,설치,설치,설치,설치
부산광역시,남구,천주교용호동공원묘지,부산광역시 남구 용호동 산232,051-629-8730,,,0,사설,5619,5619,0,미설치,미설치,미설치,미설치,미설치
대구광역시,군위군,(재)신세계공원묘원,대구광역시 군위군 효령면 녹동길 129-190 (장군리),054-382-5250,,www.신세계공원묘원.kr,0,사설,365344,365344,5000,미설치,미설치,설치,미설치,미설치
대구광역시,수성구,가톨릭 범물공원묘원,대구광역시 수성구 범안로 120 (범물동),053-250-3000,,,30,사설,101960,45726,5102,미설치,미설치,설치,미설치,미설치
대구광역시,군위군,가톨릭군위묘원,대구광역시 군위군 군위읍 용대2길 258 (용대리),053-250-3000,,,100,사설,0,850977,30000,설치,미설치,설치,미설치,미설치
대구광역시,대구광역시,대구시립공원묘지,경상북도 칠곡군 지천면 낙산로 87 (낙산리),053-312-0348,,,223,공설,89170,89170,4220,미설치,미설치,설치,미설치,미설치
대구광역시,북구,대구중부교회묘지,대구광역시 북구 관음동 산74-1,053-424-5381,,,0,사설,43371,38385,3487,미설치,미설치,설치,설치,미설치
대구광역시,북구,대구중앙교회 부활의동산,대구광역시 북구 읍내동 산58,053-341-2511,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
대구광역시,북구,대구칠곡교회묘지,대구광역시 북구 국우동 산84,053-324-9191,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
대구광역시,달성군,대구화교협회묘지,대구광역시 달성군 가창면 주리 산212-4,053-255-0561,,,0,사설,12846,12846,1466,미설치,미설치,설치,미설치,미설치
대구광역시,대구광역시,동명가족묘지,경상북도 칠곡군 동명면 경북대로 456-6 (금암리),054-977-6377,,,20,공설,931627,931627,2864,미설치,미설치,설치,미설치,미설치
대구광역시,대구광역시,동명공동묘지,경상북도 칠곡군 동명면 학명리 산145-1,054-977-6377,,,0,공설,760960,760960,2137,미설치,미설치,미설치,미설치,미설치
대구광역시,달성군,삼덕교회동산,대구광역시 달성군 가창면 옥분리 산35-3,053-423-3271,,,0,사설,156938,62916,10499,미설치,미설치,미설치,미설치,미설치
대구광역시,대구광역시,성서공동묘지,대구광역시 달서구 달구벌대로276길 122 (장동),053-586-6444,,,5,공설,144724,144724,3221,미설치,미설치,설치,미설치,미설치
대구광역시,군위군,재단법인금산공원묘원,대구광역시 군위군 효령면 점말길 23-55 (고곡리),054-382-9623,054-383-9623,,0,사설,20839,20839,1569,미설치,미설치,설치,미설치,미설치
대구광역시,중구,천주교 대구대교구청 성직자묘지,"대구광역시 중구 남산로4길 112 (남산동, 신관)",053-250-3002,,,0,사설,1322,1322,79,설치,미설치,설치,미설치,미설치
대구광역시,북구,칠곡성당공동묘원,대구광역시 북구 읍내동 산83,053-323-1501,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,고능리공동묘지,인천광역시 강화군 불은면 고능리 172,032-937-5301,,,0,공설,18446,18446,155,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,고천리공설묘지,인천광역시 강화군 내가면 고천리 산11,032-930-3607,,,0,공설,16230,16230,2410,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,교산1리공설묘지,인천광역시 강화군 양사면 교산리 산307,032-934-2183,,,0,공설,1114,1114,71,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,교산리공설묘지(별립산),인천광역시 강화군 양사면 교산리 산355-1,032-934-2183,,,0,공설,881,881,0,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,국화리공설묘지,인천광역시 강화군 강화읍 국화리 산291,032-934-0003,,,0,공설,2321,2321,109,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,길정리공설묘지,인천광역시 강화군 양도면 길정리 산228-1,032-937-2001,,,0,공설,7332,7332,58,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,길직1리공설묘지,인천광역시 강화군 길상면 길직리 산247,032-930-3604,,,0,공설,8231,8231,5,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,길직2리공설묘지,인천광역시 강화군 길상면 길직리 1164-2,032-930-3604,,,0,공설,9083,9083,92,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,남산리공설묘지,인천광역시 강화군 강화읍 남산리 산50,032-934-0003,,,0,공설,12496,12496,47,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,내리공설묘지,인천광역시 옹진군 영흥면 내리 산258,032-899-2333,,,0,공설,6318,6318,6318,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,내리공설묘지(화도면),인천광역시 강화군 화도면 안골길 27-40 (내리),032-930-3605,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,넙성리공동묘지,인천광역시 강화군 불은면 넙성리 산5,032-937-5301,,,0,공설,3871,3871,68,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,당산리공설묘지,인천광역시 강화군 송해면 당산리 산58,032-934-4302,,,0,공설,236230,78804,3667,미설치,미설치,미설치,미설치,미설치
인천광역시,서구,대곡공설묘지(만장),인천광역시 서구 대곡동 산202,032-560-4544,,,0,공설,11900,11900,1322,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,대청리공설묘지,인천광역시 옹진군 대청면 대청리 산299,032-899-2333,,,0,공설,412147,214877,26000,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,덕성리공동묘지,인천광역시 강화군 불은면 덕성리 737-8,032-937-5301,,,0,공설,211736,185357,4739,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,덕포리공설묘지,인천광역시 강화군 화도면 덕포리 산83,032-930-3605,,,0,공설,17851,17851,344,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,덕하1리공설묘지,인천광역시 강화군 양사면 덕하리 산304,032-934-2183,,,0,공설,324376,205855,9896,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,덕하2리공설묘지,인천광역시 강화군 양사면 덕하리 산352,032-934-2183,,,0,공설,155447,130000,3239,미설치,미설치,미설치,미설치,미설치
인천광역시,남동구,도림동공설묘지(매장불가),인천광역시 남동구 도림동 산33,032-453-5522,,,0,공설,10512,10512,600,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,도장리공설묘지,인천광역시 강화군 양도면 도장리 산121,032-937-2001,,,0,공설,14619,14619,709,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,동검리공설묘지,인천광역시 강화군 길상면 동검리 산122,032-930-3604,,,0,공설,13075,13075,660,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,동산리공설묘지,인천광역시 강화군 교동면 동산리 산5,032-930-3611,,,0,공설,94957,94957,8800,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,두운리공동묘지,인천광역시 강화군 불은면 두운리 산243,032-937-5301,,,0,공설,3372,2698,246,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,말도공설묘지,인천광역시 강화군 서도면 말도리 산21,032-934-2183,,,0,공설,8265,6612,916,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,망월리공설묘지,인천광역시 강화군 하점면 망월리 산 44,032-930-4473,,,0,공설,16661,5000,399,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,매음리공설묘지,인천광역시 강화군 삼산면 매음리 산296,032-930-3612,,,0,공설,117711,82249,4768,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,모도리공설묘지,인천광역시 옹진군 북도면 모도리 산41,032-899-2333,,,0,공설,27456,24456,1500,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,미법리공설묘지,인천광역시 강화군 삼산면 미법리 산12,032-930-3342,,,0,공설,58314,19835,1800,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,볼음공설묘지,인천광역시 강화군 서도면 볼음도리 산82,032-934-2183,,,0,공설,290876,211785,12120,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,봉소리공설묘지,인천광역시 강화군 교동면 봉소리 180-1,032-930-3611,,,0,공설,177559,147587,11160,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,부근리공설묘지,인천광역시 강화군 하점면 부근리 산148,032-930-4473,,,0,공설,22611,13567,1466,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,북성리공설묘지,인천광역시 강화군 양사면 북성리 산179,032-934-2183,,,0,공설,1072743,1072743,8374,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,사기리공설묘지,인천광역시 강화군 화도면 사기리 산116,032-930-3605,,,0,공설,57400,57400,4778,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,삼거리공설묘지,인천광역시 강화군 하점면 삼거리 산256,032-930-4473,,,0,공설,49420,49420,4738,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,삼동암공동묘지,인천광역시 강화군 불은면 삼동암리 산217,032-937-5301,,,0,공설,3306,1737,48,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,삼성리공동묘지,인천광역시 강화군 불은면 삼성리 산77-2,032-937-5301,,,0,공설,194674,133564,60000,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,삼흥리공설묘지,인천광역시 강화군 양도면 삼흥리 산171,032-937-2001,,,0,공설,501408,484131,18043,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,상리공설묘지,인천광역시 강화군 삼산면 상리 산177,032-930-3342,,,0,공설,9132,5977,588,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,상용리공설묘지,인천광역시 강화군 교동면 상용리 산215,032-930-3611,,,0,공설,499440,112000,6871,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,서검리공설묘지,인천광역시 강화군 삼산면 서검리 산50,032-930-3612,,,0,공설,160760,160760,4300,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,석모리공설묘지,인천광역시 강화군 삼산면 석모리 산308,032-930-3612,,,0,공설,45512,20000,3742,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,석포리공설묘지,인천광역시 강화군 삼산면 석포리 산83,032-930-3612,,,0,공설,11603,11603,340,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,선두리공설묘지,인천광역시 강화군 길상면 선두리 산204,032-930-3604,,,0,공설,4959,4959,330,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,선재리공설묘지,인천광역시 옹진군 영흥면 선재로226번길 85 (선재리),032-899-2333,,,0,공설,1653,1653,70,미설치,미설치,미설치,미설치,미설치
인천광역시,서구,송월교회묘지,인천광역시 서구 마전동 산72-1,032-765-7851,032-765-7854,,0,사설,5001,5001,0,미설치,미설치,설치,미설치,미설치
인천광역시,남동구,수산동공설묘지(매장불가),인천광역시 남동구 수산동 산14,032-453-5522,,,0,공설,29157,29157,220,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,숭뢰리공설묘지,인천광역시 강화군 송해면 숭뢰리 산63,032-934-4302,,,0,공설,17157,17157,500,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,신도리공설묘지,인천광역시 옹진군 북도면 신도리 산153-1,032-899-2333,,,0,공설,29058,29058,852,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,신삼리공설묘지,인천광역시 강화군 하점면 신삼리 산107,032-930-4473,,,0,공설,7736,7736,227,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,신정리공설묘지,인천광역시 강화군 선원면 신정리 산63,032-930-3702,,,0,공설,6248,6248,840,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,신현리공동묘지,인천광역시 강화군 불은면 신현리 산59,032-937-5301,,,0,공설,10413,10413,922,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,아차공설묘지,인천광역시 강화군 서도면 아차도리 산13,032-934-2183,,,0,공설,8033,8033,300,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,양오리공설묘지,인천광역시 강화군 송해면 양오리 산184,032-930-3342,,,0,공설,12099,12099,611,미설치,미설치,미설치,미설치,미설치
인천광역시,서구,양우회,인천광역시 서구 당하동  산161-1,032-563-5663,,,0,사설,19800,19800,1200,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,연평리공설묘지,인천광역시 옹진군 연평면 연평리 산10-113,032-899-2333,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
인천광역시,중구,영종공설묘지(신규매장불가),인천광역시 중구 운북동 132-80,032-746-1672,,,10,공설,116003,47223,2150,설치,미설치,설치,설치,미설치
인천광역시,강화군,오상리공설묘지,인천광역시 강화군 내가면 오상리 산91-2,032-930-3607,,,0,공설,127488,116973,14870,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,온수리공설묘지,인천광역시 강화군 길상면 온수리 산21-16,032-930-3604,,,0,공설,203354,142460,11274,미설치,미설치,미설치,미설치,미설치
인천광역시,서구,왕길공설묘지(만장),인천광역시 서구 왕길동 산120,032-560-4544,,,0,공설,200133,95868,4043,설치,설치,설치,설치,설치
인천광역시,서구,왕길조성묘지,인천광역시 서구 왕길동 산116,032-522-0507,,,0,공설,357430,150546,9049,설치,설치,설치,설치,설치
인천광역시,강화군,외포리공설묘지,인천광역시 강화군 내가면 외포리 산98-1,032-930-3607,,,0,공설,112397,9200,2000,미설치,미설치,미설치,미설치,미설치
인천광역시,남동구,운연동공설묘지(매장불가),"인천광역시 남동구 운연동 산45, 산89",032-453-5502,,,0,공설,178400,25678,603,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,월곳리공설묘지,인천광역시 강화군 강화읍 월곳리 산8,032-930-3342,,,0,공설,17596,17596,1600,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,이작리공설묘지,"인천광역시 옹진군 자월면 대이작로42번길 90 (이작리, 이작리공설묘지공원)",032-899-2333,,,0,공설,3967,3967,88,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,인산리공설묘지,인천광역시 강화군 양도면 인산리 산225,032-937-2001,,,0,공설,4165,4165,200,미설치,미설치,미설치,미설치,미설치
인천광역시,부평구,인천가족공원 묘지,인천광역시 부평구 평온로 61 (부평동),032-456-2320,032-456-2324,www.insiseol.or.kr/life/family,0,공설,1553036,1553036,37748,설치,설치,설치,설치,설치
인천광역시,서구,인천기독교장로회묘지,인천광역시 서구 당하동 산178-2,,,,0,사설,281785,281785,12505,미설치,미설치,미설치,미설치,미설치
인천광역시,서구,인천지구황해도민묘지,인천광역시 서구 마전동 산197-1,032-885-7473,,,0,사설,20421,18760,625,미설치,미설치,미설치,미설치,미설치
인천광역시,서구,인천호남향우회,인천광역시 서구 당하동  산179-1,032-439-6767,,,50,사설,1668729,1668729,1000,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,인화리공설묘지,인천광역시 강화군 양사면 인화리 산336,032-934-2183,,,0,공설,13290,13290,295,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,자월리공설묘지,인천광역시 옹진군 자월면 자월리 산308,032-899-2333,,,0,공설,19794,19794,439,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,장봉리공설묘지,"인천광역시 옹진군 북도면 장봉로582번길 103 (장봉리, 장봉리공설묘지공원)",032-899-2333,,,0,공설,2380,2380,52,미설치,미설치,미설치,미설치,미설치
인천광역시,남동구,장수동공설묘지(매장불가),인천광역시 남동구 장수동 산133,032-453-5502,,,0,공설,2975,2975,66,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,장정리공설묘지,인천광역시 강화군 하점면 장정리 산188,032-933-5302,,,0,공설,9223,9223,204,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,장화리공설묘지,인천광역시 강화군 화도면 장화리 산354,032-930-3605,,,0,공설,1983,1983,44,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,장흥리공설묘지,인천광역시 강화군 길상면 장흥리 산69-1,032-930-3604,,,0,공설,12079,12079,268,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,주문공설묘지,인천광역시 강화군 서도면 주문도리 산33,032-934-2183,,,0,공설,19851,19851,2816,미설치,미설치,미설치,미설치,미설치
인천광역시,미추홀구,주안공설묘지(미운영),인천광역시 미추홀구 주안동 산62-7,032-880-4816,,,0,공설,21133,21133,1950,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,지석리공설묘지,인천광역시 강화군 교동면 지석리 산155,032-930-3611,,,0,공설,260565,167388,12655,미설치,미설치,미설치,미설치,미설치
