"시점","시도별(1)",계,논,밭
"2015","전국",1679022.72043795,908193.564822714,770829.155615233
"2015","서울특별시",475.9942114794,175.9248854599,300.0693260195
"2015","부산광역시",6008.2257140716,3490.2146646744,2518.0110493972
"2015","대구광역시",8290.7593260404,3864.7308220442,4426.0285039963
"2015","인천광역시",20114.1916940539,13444.792711027,6669.3989830269
"2015","광주광역시",10261.1552374677,6615.3818801309,3645.7733573368
"2015","대전광역시",4304.9115051686,1605.8340197172,2699.0774854514
"2015","울산광역시",11003.1440886776,6125.4167566704,4877.7273320072
"2015","세종특별자치시",8259.7808168989,4784.5700733572,3475.2107435417
"2015","경기도",175416.86105732,95679.9207110256,79736.9403462946
"2015","강원도",107276.547310279,38979.0860189179,68297.4612913608
"2015","충청북도",111568.055347939,44541.3404846566,67026.7148632826
"2015","충청남도",218786.637542327,152676.610958864,66110.0265834627
"2015","전라북도",203559.397316166,134380.325347101,69179.0719690644
"2015","전라남도",304798.646621942,185189.80015568,119608.846466262
"2015","경상북도",274487.121966514,126818.064282092,147669.057684422
"2015","경상남도",151768.681909135,89803.0680235209,61965.6138856137
"2015","제주도",62642.3895893675,18.0531011325,62624.336488235
"2016","전국",1643599,895739,747860
"2016","서울특별시",422,176,246
"2016","부산광역시",5934,3348,2586
"2016","대구광역시",8102,4025,4077
"2016","인천광역시",19511,12720,6791
"2016","광주광역시",9878,6167,3711
"2016","대전광역시",4072,1544,2528
"2016","울산광역시",10889,5926,4963
"2016","세종특별자치시",8102,4616,3486
"2016","경기도",169435,93216,76219
"2016","강원도",104330,37763,66567
"2016","충청북도",109161,43807,65354
"2016","충청남도",215100,151431,63669
"2016","전라북도",200720,132854,67866
"2016","전라남도",298095,183530,114565
"2016","경상북도",268461,125846,142615
"2016","경상남도",149247,88753,60494
"2016","제주도",62140,17,62123
"2017","전국",1620796.0525,864864.8449,755931.2076
"2017","서울특별시",402.1097,167.4724,234.6373
"2017","부산광역시",5742.36,3242.8121,2499.5479
"2017","대구광역시",8061.5645,3993.7621,4067.8024
"2017","인천광역시",19003.8725,12222.9811,6780.8914
"2017","광주광역시",9446.1919,5931.3123,3514.8796
"2017","대전광역시",3888.2513,1458.0793,2430.172
"2017","울산광역시",10540.3375,5636.127,4904.2105
"2017","세종특별자치시",7957.7117,4512.784,3444.9277
"2017","경기도",165707.4763,88732.9715,76974.5048
"2017","강원도",103133.0641,35681.5003,67451.5638
"2017","충청북도",107096.8838,40505.592,66591.2918
"2017","충청남도",213237.6674,148557.6753,64679.9921
"2017","전라북도",199196.2344,130321.9833,68874.2511
"2017","전라남도",293862.9453,177752.6797,116110.2656
"2017","경상북도",265665.3422,121350.3037,144315.0385
"2017","경상남도",146765.7098,84779.8088,61985.901
"2017","제주도",61088.3301,17,61071.3301
"2018","전국",1595614.0228,844264.6892,751349.3336
"2018","서울특별시",352.581,159.3155,193.2655
"2018","부산광역시",5578.2326,3091.0261,2487.2065
"2018","대구광역시",7661.206,3534.8068,4126.3992
"2018","인천광역시",18376.7025,11547.2614,6829.4411
"2018","광주광역시",9327.7029,5792.3067,3535.3962
"2018","대전광역시",3793.79,1400.1635,2393.6265
"2018","울산광역시",10063.5392,5485.3462,4578.193
"2018","세종특별자치시",7703.9234,4386.7535,3317.1699
"2018","경기도",162587.4583,86242.8207,76344.6376
"2018","강원도",101563.5755,34169.6202,67393.9553
"2018","충청북도",102869.7771,38612.5133,64257.2638
"2018","충청남도",211577.1676,146703.3528,64873.8148
"2018","전라북도",197540.8486,128333.1855,69207.6631
"2018","전라남도",290826.6029,173985.5826,116841.0203
"2018","경상북도",262049.2363,118812.9013,143236.335
"2018","경상남도",144403.5167,81990.7665,62412.7502
"2018","제주도",59338.1622,16.9666,59321.1956
"2019","전국",1580957.0366,829777.6344,751179.4022
"2019","서울특별시",347.1006,149.9721,197.1285
"2019","부산광역시",5408.0101,2951.2151,2456.795
"2019","대구광역시",7471.5593,3513.2595,3958.2998
"2019","인천광역시",18244.2475,11326.5996,6917.6479
"2019","광주광역시",9251.8373,5757.936,3493.9013
"2019","대전광역시",3741.6566,1357.6167,2384.0399
"2019","울산광역시",9977.2459,5280.9937,4696.2522
"2019","세종특별자치시",7588.0133,4249.8652,3338.1481
"2019","경기도",160181.0794,84124.7117,76056.3677
