"시점","행정구역별",데이터
"2015","전국",509.2
"2015","서울특별시",16364
"2015","부산광역시",4479.9
"2015","대구광역시",2791
"2015","인천광역시",2755.5
"2015","광주광역시",2998.8
"2015","대전광역시",2852.3
"2015","울산광역시",1099.6
"2015","세종특별자치시",439
"2015","경기도",1226.4
"2015","강원특별자치도",90.2
"2015","충청북도",214.6
"2015","충청남도",256.6
"2015","전북특별자치도",227.4
"2015","전라남도",146.1
"2015","경상북도",140.8
"2015","경상남도",316.4
"2015","제주특별자치도",327.5
"2016","전국",511
"2016","서울특별시",16202.2
"2016","부산광역시",4468.8
"2016","대구광역시",2785.3
"2016","인천광역시",2741.4
"2016","광주광역시",2995.7
"2016","대전광역시",2846.9
"2016","울산광역시",1099.2
"2016","세종특별자치시",521.7
"2016","경기도",1244.4
"2016","강원특별자치도",90.4
"2016","충청북도",216.5
"2016","충청남도",259.2
"2016","전북특별자치도",227.2
"2016","전라남도",145.8
"2016","경상북도",140.9
"2016","경상남도",316.9
"2016","제주특별자치도",337.1
"2017","전국",512.4
"2017","서울특별시",16095.8
"2017","부산광역시",4437.4
"2017","대구광역시",2776.2
"2017","인천광역시",2752.3
"2017","광주광역시",2985.3
"2017","대전광역시",2828.5
"2017","울산광역시",1090.4
"2017","세종특별자치시",595
"2017","경기도",1261.6
"2017","강원특별자치도",90.4
"2017","충청북도",217.5
"2017","충청남도",262.9
"2017","전북특별자치도",226.3
"2017","전라남도",145.3
"2017","경상북도",140.7
"2017","경상남도",317.4
"2017","제주특별자치도",346.9
"2018","전국",514.4
"2018","서울특별시",15983.7
"2018","부산광역시",4409.8
"2018","대구광역시",2766.7
"2018","인천광역시",2761.4
"2018","광주광역시",2973.2
"2018","대전광역시",2801
"2018","울산광역시",1083.4
"2018","세종특별자치시",671.9
"2018","경기도",1286.2
"2018","강원특별자치도",90.3
"2018","충청북도",218.8
"2018","충청남도",265.1
"2018","전북특별자치도",225.3
"2018","전라남도",145
"2018","경상북도",140.4
"2018","경상남도",317.9
"2018","제주특별자치도",355.8
"2019","전국",515.7
"2019","서울특별시",15926.9
"2019","부산광역시",4379.7
"2019","대구광역시",2750.3
"2019","인천광역시",2776.6
"2019","광주광역시",2972.7
"2019","대전광역시",2777.5
"2019","울산광역시",1076.9
"2019","세종특별자치시",727.3
"2019","경기도",1305
"2019","강원특별자치도",90.3
"2019","충청북도",220
"2019","충청남도",265.4
"2019","전북특별자치도",224
"2019","전라남도",144.8
"2019","경상북도",140.2
"2019","경상남도",317.6
"2019","제주특별자치도",359.4
"2020","전국",516.2
"2020","서울특별시",15839
"2020","부산광역시",4348.9
"2020","대구광역시",2728.6
"2020","인천광역시",2765.1
"2020","광주광역시",2948.5
"2020","대전광역시",2758.1
"2020","울산광역시",1069
"2020","세종특별자치시",761.3
"2020","경기도",1325.3
"2020","강원특별자치도",90.4
"2020","충청북도",220.3
"2020","충청남도",264
"2020","전북특별자치도",223.4
"2020","전라남도",144.9
"2020","경상북도",138.9
"2020","경상남도",316.2
"2020","제주특별자치도",362.6
"2021","전국",515.2
"2021","서울특별시",15650.1
"2021","부산광역시",4316.4
"2021","대구광역시",2702.2
"2021","인천광역시",2772.8
"2021","광주광역시",2944
"2021","대전광역시",2742.8
"2021","울산광역시",1055
"2021","세종특별자치시",787.7
"2021","경기도",1338.9
"2021","강원특별자치도",90.4
"2021","충청북도",219.4
"2021","충청남도",263.8
"2021","전북특별자치도",221.4
"2021","전라남도",143.9
"2021","경상북도",138.4
"2021","경상남도",313.6
"2021","제주특별자치도",363.8
"2022","전국",514.6
"2022","서울특별시",15560.7
"2022","부산광역시",4272.8
"2022","대구광역시",2673.7
"2022","인천광역시",2801.3
"2022","광주광역시",2931.9
"2022","대전광역시",2730.7
"2022","울산광역시",1044.9
"2022","세종특별자치시",822.9
"2022","경기도",1344.9
"2022","강원특별자치도",90.8
"2022","충청북도",219.4
"2022","충청남도",265.9
"2022","전북특별자치도",219.8
"2022","전라남도",143.3
"2022","경상북도",137.7
"2022","경상남도",311.2
"2022","제주특별자치도",365.6
"2023","전국",515.4
"2023","서울특별시",15506.4
"2023","부산광역시",4252
"2023","대구광역시",1586.7
"2023","인천광역시",2835.7
"2023","광주광역시",2908.5
"2023","대전광역시",2724
"2023","울산광역시",1042
"2023","세종특별자치시",830.7
"2023","경기도",1354.5
"2023","강원특별자치도",90.8
"2023","충청북도",221.6
"2023","충청남도",268.7
"2023","전북특별자치도",219.1
"2023","전라남도",143.7
"2023","경상북도",140.6
"2023","경상남도",310.3
"2023","제주특별자치도",365.8
"2024","전국",515.7
"2024","서울특별시",15425
"2024","부산광역시",4222.9
"2024","대구광역시",1580.1
"2024","인천광역시",2859.3
"2024","광주광역시",2882.8
"2024","대전광역시",2718.1
"2024","울산광역시",1041.4
"2024","세종특별자치시",839
"2024","경기도",1364
"2024","강원특별자치도",90.5
"2024","충청북도",222.3
"2024","충청남도",271.4
"2024","전북특별자치도",217.8
"2024","전라남도",143.8
"2024","경상북도",139.9
"2024","경상남도",309.6
"2024","제주특별자치도",364.7
