"행정구역별(1)",행정구역별(2),계,계,계,계,계,침엽수,침엽수,침엽수,침엽수,침엽수,활엽수,활엽수,활엽수,활엽수,활엽수,혼효림,혼효림,혼효림,혼효림,혼효림,죽림,죽림,죽림,죽림,죽림,무립목지,무립목지,무립목지,무립목지,무립목지
"행정구역별(1)",행정구역별(2),2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020
"총계",소계,6329845,6335255,6331131,6334615,6019292,2334439,2335923,2339022,2339022,2221727,2027913,2030712,2028855,2028855,1896904,1707609,1708606,1705876,1705876,1602072,21533,21726,22067,22067,20147,238351,238288,235311,238795,278442
"서울특별시",소계,15486,15486,15486,15486,15486,2743,2743,2743,2743,2743,7088,7088,7088,7088,7088,3572,3572,3572,3572,3572,0,0,0,-,-,2083,2083,2083,2083,2083
"서울특별시",종로구,956,956,956,956,956,186,186,186,186,186,225,225,225,225,225,269,269,269,269,269,0,0,0,-,-,276,276,276,276,276
"서울특별시",중구,150,150,150,150,150,9,9,9,9,9,95,95,95,95,95,20,20,20,20,20,0,0,0,-,-,26,26,26,26,26
"서울특별시",용산구,180,180,180,180,180,50,50,50,50,50,56,56,56,56,56,73,73,73,73,73,0,0,0,-,-,1,1,1,1,1
"서울특별시",성동구,55,55,55,55,55,0,-,-,-,-,16,16,16,16,16,2,2,2,2,2,0,0,0,-,-,37,37,37,37,37
"서울특별시",광진구,295,295,295,295,295,116,116,116,116,116,50,50,50,50,50,39,39,39,39,39,0,0,0,-,-,90,90,90,90,90
"서울특별시",동대문구,120,120,120,120,120,17,17,17,17,17,72,72,72,72,72,27,27,27,27,27,0,0,0,-,-,4,4,4,4,4
"서울특별시",중랑구,532,532,532,532,532,155,155,155,155,155,277,277,277,277,277,81,81,81,81,81,0,0,0,-,-,19,19,19,19,19
"서울특별시",성북구,936,936,936,936,936,181,181,181,181,181,299,299,299,299,299,310,310,310,310,310,0,0,0,-,-,146,146,146,146,146
"서울특별시",강북구,1290,1290,1290,1290,1290,115,115,115,115,115,450,450,450,450,450,461,461,461,461,461,0,0,0,-,-,264,264,264,264,264
"서울특별시",도봉구,995,995,995,995,995,65,65,65,65,65,558,558,558,558,558,261,261,261,261,261,0,0,0,-,-,111,111,111,111,111
"서울특별시",노원구,1646,1646,1646,1646,1646,370,370,370,370,370,576,576,576,576,576,346,346,346,346,346,0,0,0,-,-,354,354,354,354,354
"서울특별시",은평구,1448,1448,1448,1448,1448,331,331,331,331,331,550,550,550,550,550,294,294,294,294,294,0,0,0,-,-,273,273,273,273,273
"서울특별시",서대문구,560,560,560,560,560,122,122,122,122,122,272,272,272,272,272,89,89,89,89,89,0,0,0,-,-,77,77,77,77,77
"서울특별시",마포구,84,84,84,84,84,16,16,16,16,16,59,59,59,59,59,9,9,9,9,9,0,0,0,-,-,0,0,0,-,-
"서울특별시",양천구,281,281,281,281,281,60,60,60,60,60,151,151,151,151,151,70,70,70,70,70,0,0,0,-,-,0,0,0,-,-
"서울특별시",강서구,390,390,390,390,390,77,77,77,77,77,212,212,212,212,212,91,91,91,91,91,0,0,0,-,-,10,10,10,10,10
"서울특별시",구로구,356,356,356,356,356,33,33,33,33,33,279,279,279,279,279,43,43,43,43,43,0,0,0,-,-,1,1,1,1,1
"서울특별시",금천구,322,322,322,322,322,33,33,33,33,33,223,223,223,223,223,66,66,66,66,66,0,0,0,-,-,0,0,0,-,-
"서울특별시",영등포구,4,4,4,4,4,0,0,0,-,-,4,4,4,4,4,0,0,0,-,-,0,0,0,-,-,0,0,0,-,-
"서울특별시",동작구,376,376,376,376,376,21,21,21,21,21,127,127,127,127,127,37,37,37,37,37,0,0,0,-,-,191,191,191,191,191
"서울특별시",관악구,1744,1744,1744,1744,1744,526,526,526,526,526,690,690,690,690,690,513,513,513,513,513,0,0,0,-,-,15,15,15,15,15
"서울특별시",서초구,1609,1609,1609,1609,1609,113,113,113,113,113,1185,1185,1185,1185,1185,294,294,294,294,294,0,0,0,-,-,17,17,17,17,17
"서울특별시",강남구,714,714,714,714,714,108,108,108,108,108,437,437,437,437,437,147,147,147,147,147,0,0,0,-,-,22,22,22,22,22
"서울특별시",송파구,147,147,147,147,147,15,15,15,15,15,102,102,102,102,102,12,12,12,12,12,0,0,0,-,-,18,18,18,18,18
"서울특별시",강동구,296,296,296,296,296,24,24,24,24,24,123,123,123,123,123,18,18,18,18,18,0,0,0,-,-,131,131,131,131,131
"부산광역시",소계,35386,35386,35386,35386,34926,16205,16205,16205,16205,15904,6593,6593,6593,6593,7644,10853,10853,10853,10853,9903,137,137,137,137,87,1598,1598,1598,1598,1388
"부산광역시",중구,13,13,13,13,13,5,5,5,5,6,4,4,4,4,1,4,4,4,4,5,-,-,-,-,1,-,-,-,-,-
"부산광역시",서구,684,684,684,684,678,276,276,276,276,276,151,151,151,151,168,233,233,233,233,212,-,-,-,-,1,24,24,24,24,21
"부산광역시",동구,277,277,277,277,276,171,171,171,171,171,15,15,15,15,27,88,88,88,88,74,1,1,1,1,1,2,2,2,2,3
"부산광역시",영도구,407,407,407,407,403,258,258,258,258,261,20,20,20,20,36,121,121,121,121,99,-,-,-,-,-,8,8,8,8,7
"부산광역시",부산진구,1048,1048,1048,1048,1040,469,469,469,469,474,147,147,147,147,200,350,350,350,350,291,-,-,-,-,1,82,82,82,82,74
"부산광역시",동래구,470,470,470,470,460,305,305,305,305,291,14,14,14,14,21,131,131,131,131,118,-,-,-,-,-,20,20,20,20,30
"부산광역시",남구,915,915,915,915,910,494,494,494,494,513,136,136,136,136,121,215,215,215,215,207,1,1,1,1,-,69,69,69,69,69
"부산광역시",북구,2295,2295,2295,2295,2285,930,930,930,930,950,398,398,398,398,552,948,948,948,948,774,2,2,2,2,1,17,17,17,17,8
"부산광역시",해운대구,2913,2913,2913,2913,2866,1993,1993,1993,1993,1811,110,110,110,110,210,757,757,757,757,801,3,3,3,3,2,50,50,50,50,42
"부산광역시",사하구,1390,1390,1390,1390,1371,549,549,549,549,589,293,293,293,293,329,428,428,428,428,350,2,2,2,2,1,118,118,118,118,102
"부산광역시",금정구,4131,4131,4131,4131,4120,1986,1986,1986,1986,1915,583,583,583,583,819,1326,1326,1326,1326,1153,14,14,14,14,9,222,222,222,222,224
"부산광역시",강서구,4383,4383,4383,4383,4229,1858,1858,1858,1858,1982,860,860,860,860,926,1452,1452,1452,1452,1160,27,27,27,27,24,186,186,186,186,137
"부산광역시",연제구,305,305,305,305,301,119,119,119,119,125,89,89,89,89,83,84,84,84,84,85,-,-,-,-,-,13,13,13,13,8
"부산광역시",수영구,252,252,252,252,244,111,111,111,111,108,41,41,41,41,47,88,88,88,88,82,1,1,1,1,1,11,11,11,11,6
"부산광역시",사상구,1257,1257,1257,1257,1248,530,530,530,530,578,258,258,258,258,278,409,409,409,409,344,-,-,-,-,-,60,60,60,60,48
"부산광역시",기장군,14646,14646,14646,14646,14482,6151,6151,6151,6151,5854,3474,3474,3474,3474,3826,4219,4219,4219,4219,4148,86,86,86,86,45,716,716,716,716,609
"대구광역시",소계,48705,48705,48705,48705,48338,21600,21600,21600,21600,21829,10443,10443,10443,10443,11012,16302,16302,16302,16302,15096,103,103,103,103,61,257,257,257,257,340
"대구광역시",중구,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-
"대구광역시",동구,11410,11410,11410,11410,11385,5229,5229,5229,5229,5365,1897,1897,1897,1897,2312,4197,4197,4197,4197,3644,6,6,6,6,5,81,81,81,81,59
"대구광역시",서구,206,206,206,206,206,32,32,32,32,44,110,110,110,110,59,57,57,57,57,79,0,0,0,0,-,7,7,7,7,24
"대구광역시",남구,679,679,679,679,678,295,295,295,295,280,146,146,146,146,182,236,236,236,236,211,0,0,0,0,-,2,2,2,2,5
"대구광역시",북구,4619,4619,4619,4619,4602,2482,2482,2482,2482,2480,841,841,841,841,887,1265,1265,1265,1265,1134,3,3,3,3,4,28,28,28,28,97
"대구광역시",수성구,3802,3802,3802,3802,3771,1306,1306,1306,1306,1180,1104,1104,1104,1104,1124,1341,1341,1341,1341,1420,2,2,2,2,3,49,49,49,49,44
"대구광역시",달서구,2136,2136,2136,2136,2119,881,881,881,881,932,561,561,561,561,527,668,668,668,668,619,1,1,1,1,1,25,25,25,25,40
"대구광역시",달성군,25853,25853,25853,25853,25577,11375,11375,11375,11375,11548,5784,5784,5784,5784,5921,8538,8538,8538,8538,7989,91,91,91,91,48,65,65,65,65,71
"인천광역시",소계,40450,40625,39978,39978,39373,7258,7260,10752,10752,9892,17077,17072,14963,14963,10396,12993,12733,10223,10223,14766,0,0,13,13,10,3122,3560,4027,4027,4309
"인천광역시",중구,3538,3538,3538,3538,3266,1085,1085,1085,1085,1002,733,733,733,733,628,872,872,872,872,972,0,0,0,0,-,848,848,848,848,664
"인천광역시",동구,7,6,6,6,6,0,6,4,4,2,0,0,1,1,2,7,0,1,1,2,0,0,0,0,-,0,0,0,0,-
"인천광역시",미추홀구,250,250,240,240,241,26,26,48,48,29,181,181,144,144,103,25,25,30,30,76,0,0,0,0,-,18,18,18,18,33
"인천광역시",연수구,428,428,428,428,427,84,84,84,84,53,171,171,171,171,133,77,77,77,77,117,0,0,0,0,-,96,96,96,96,124
"인천광역시",남동구,1319,1319,1319,1319,1261,346,346,346,346,240,558,558,558,558,489,387,387,387,387,524,0,0,0,0,-,28,28,28,28,8
"인천광역시",부평구,839,839,839,839,828,86,86,171,171,101,333,333,350,350,286,367,367,259,259,362,0,0,0,0,-,53,53,59,59,79
"인천광역시",계양구,1155,1155,1155,1155,1146,199,199,197,197,207,545,545,547,547,433,310,310,310,310,381,0,0,0,0,-,101,101,101,101,125
"인천광역시",서구,3213,3151,3151,3151,3079,425,425,250,250,241,1740,1740,1873,1873,1341,869,807,657,657,1106,0,0,0,0,-,179,179,371,371,391
"인천광역시",강화군,17870,17743,17853,17853,17712,3304,3300,3480,3480,3065,7122,7117,7805,7805,4644,5645,5454,4344,4344,7421,0,0,0,0,-,1799,1872,2224,2224,2582
"인천광역시",옹진군,11831,12196,11449,11449,11407,1703,1703,5087,5087,4952,5694,5694,2781,2781,2337,4434,4434,3286,3286,3805,0,0,13,13,10,0,365,282,282,303
