20  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  21,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율,,,,,,,,2020 Forest Area and % of Forest Area by Ownership,,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
County forest",,,,,
2008,"9,982,778","6,374,875","1,518,035","1,387,020","1,317,093","69,927","131,015","4,856,840","488,388","154,099","334,289","4,368,452",63.86,2008,,
2009,"9,989,741","6,370,304","1,529,936","1,399,036","1,338,810","60,226","130,900","4,840,368","487,721","154,202","333,519","4,352,647",63.77,2009,,
2010,"10,003,306","6,368,843","1,543,352","1,409,879","1,353,985","55,894","133,473","4,825,491","487,611","154,248","333,363","4,337,880",63.67,2010,,
2015,"10,029,535","6,334,615","1,617,658","1,471,527","1,437,805","33,722","146,131","4,716,957","467,072","162,826","304,246","4,249,885",63.17,2015,,
2020,"10,041,260","6,298,134","1,652,736","1,510,347","1,481,839","28,508","142,389","4,645,398","483,202","167,756","315,446","4,162,196",62.72,2020,,
서울특별시  ,"60,523","15,323","5,961","4,099","4,068",31,"1,862","9,362",944,848,96,"8,418",25.32,Seoul,,
부산광역시  ,"77,007","34,926","6,442","3,796","3,538",258,"2,646","28,484","2,341","1,097","1,244","26,143",45.35,Busan,,
대구광역시  ,"88,349","48,338","2,505","1,460","1,456",4,"1,045","45,833","3,078","1,918","1,160","42,755",54.71,Daegu,,
인천광역시  ,"106,523","39,373","4,576","2,677","2,521",156,"1,899","34,797","1,753",516,"1,237","33,044",36.96,Incheon,,
광주광역시  ,"50,113","18,944","1,791",671,657,14,"1,120","17,153",908,884,24,"16,245",37.80,Gwangju,,
대전광역시  ,"53,966","29,764","5,586","3,558","3,519",39,"2,028","24,178","1,052","1,018",34,"23,126",55.15,Daejeon,,
울산광역시  ,"106,209","68,001","6,550","6,147","5,994",153,403,"61,451","2,165","1,941",224,"59,286",64.03,Ulsan,,
세종특별자치시,"46,491","24,849","2,431","1,616","1,349",267,815,"22,418",432,432,-,"21,986",53.45,Sejong city,,
경   기   도  ,"1,019,527","512,105","96,643","65,933","63,498","2,435","30,710","415,462","42,969","32,144","10,825","372,493",50.23,Gyeonggi-do,,
강   원   도,"1,682,968","1,366,644","790,222","765,338","759,416","5,922","24,884","576,422","94,389","28,460","65,929","482,033",81.20,Gangwon-do,,
충 청 북 도  ,"740,695","488,337","103,333","94,858","93,593","1,265","8,475","385,004","79,873","25,217","54,656","305,131",65.93,Chungcheongbuk-do,,
충 청 남 도  ,"824,617","404,097","35,328","30,446","29,018","1,428","4,882","368,769","20,782","10,428","10,354","347,987",49.00,Chungcheongnam-do,,
전 라 북 도,"806,984","440,746","103,117","96,385","93,707","2,678","6,732","337,629","31,460","12,605","18,855","306,169",54.62,Jeollabuk-do,,
전 라 남 도  ,"1,234,809","686,852","96,790","73,520","72,731",789,"23,270","590,062","33,895","11,204","22,691","556,167",55.62,Jeollanam-do,,
경 상 북 도  ,"1,903,403","1,333,691","272,143","263,751","251,575","12,176","8,392","1,061,548","110,439","15,652","94,787","951,109",70.07,Gyeongsangbuk-do,,
경 상 남 도  ,"1,054,055","698,810","83,023","75,637","75,222",415,"7,386","615,787","51,996","18,920","33,076","563,791",66.30,Gyeongsangnam-do,,
제주특별자치도,"185,021","87,334","36,295","20,455","19,977",478,"15,840","51,039","4,726","4,472",254,"46,313",47.20,"Jeju Special Self-
Governing Province",,
,,,,,,,,,,,,,,,,
"출처 : 산림청 산림빅데이터팀 (2020년 산림기본통계 개정판, 5년주기 공표), 국토교통부 (지적통계)",,,,,,,,"Source：Forest Big Data Team (2020 Forest Basic Statistics, Revised Edition, published on a five-year cycle), 
           Ministry of Land Infrastructure and Transport (cadastral statistics)",,,,,,,,
22  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  23,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율 (계속),,,,,,,,2020 Forest Area and % of Forest Area by Ownership (Cont'd),,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of
Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
County forest",,,,,
서울특별시 ,"60,523","15,323","5,961","4,099","4,068",31,"1,862","9,362",944,848,96,"8,418",25.32,Seoul,,
종로구,"2,391",956,757,679,678,1,78,199,10,9,1,189,39.98,Jongno-gu,,
중   구,996,151,103,98,98,-,5,48,6,6,-,42,15.16,Jung-gu,,
용산구,"2,187",180,94,83,83,-,11,86,6,6,-,80,8.23,Yongsan-gu,,
성동구,"1,686",53,12,7,7,-,5,41,11,6,5,30,3.14,Seongdong-gu,,
광진구,"1,706",295,8,7,7,-,1,287,38,37,1,249,17.29,Gwang jin-gu,,
동대문구,"1,422",114,25,12,10,2,13,89,25,24,1,64,8.02,Dongdaemun-gu,,
중랑구,"1,850",521,8,3,3,-,5,513,61,29,32,452,28.16,Jungnang-gu,,
성북구,"2,458",928,645,578,572,6,67,283,12,12,-,271,37.75,Seong buk-gu,,
강북구,"2,360","1,269",926,904,903,1,22,343,24,22,2,319,53.77,Gang buk-gu,,
도봉구,"2,065",990,292,34,34,-,258,698,20,19,1,678,47.94,Dobong-gu,,
노원구,"3,544","1,640",678,528,525,3,150,962,41,40,1,921,46.28,Nowon-gu,,
은평구,"2,971","1,415",732,671,667,4,61,683,110,107,3,573,47.63,Eunpyeong-gu,,
서대문구,"1,763",559,213,196,195,1,17,346,89,86,3,257,31.71,Seodaemun-gu,,
마포구,"2,385",74,7,-,-,-,7,67,11,11,-,56,3.10,Mapo-gu,,
양천구,"1,741",283,27,12,12,-,15,256,6,6,-,250,16.26,Yangcheon-gu,,
강서구,"4,144",389,48,11,10,1,37,341,48,43,5,293,9.39,Gangseo-gu,,
구로구,"2,012",347,22,9,9,-,13,325,11,6,5,314,17.25,Guro-gu,,
금천구,"1,302",320,35,30,29,1,5,285,52,41,11,233,24.58,Geumcheon-gu,,
영등포구,"2,455",4,-,-,-,-,-,4,-,-,-,4,0.16,Yeongdeungpo-gu,,
동작구,"1,635",373,76,20,19,1,56,297,25,25,-,272,22.81,Dongjak-gu,,
관악구,"2,957","1,739",766,107,98,9,659,973,55,55,-,918,58.81,Gwanak-gu,,
서초구,"4,698","1,607",413,66,66,-,347,"1,194",198,195,3,996,34.21,Seocho-gu,,
강남구,"3,950",713,61,41,40,1,20,652,70,56,14,582,18.05,Gangnam-gu,,
송파구,"3,387",106,2,-,-,-,2,104,-,-,-,104,3.13,Songpa-gu,,
강동구,"2,459",297,11,3,3,-,8,286,15,7,8,271,12.08,Gangdong-gu,,
,,,,,,,,,,,,,,,,
"출처 : 산림청 산림빅데이터팀 (2020년 산림기본통계 개정판, 5년주기 공표), 국토교통부 (지적통계)",,,,,,,,"Source：Forest Big Data Team (2020 Forest Basic Statistics, Revised Edition, published on a five-year cycle), 
           Ministry of Land Infrastructure and Transport (cadastral statistics)",,,,,,,,
24  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  25,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율 (계속),,,,,,,,2020 Forest Area and % of Forest Area by Ownership (Cont'd),,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of
Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
County forest",,,,,
부산광역시 ,"77,007","34,926","6,442","3,796","3,538",258,"2,646","28,484","2,341","1,097","1,244","26,143",45.35,Busan,,
중   구,283,13,-,-,-,-,-,13,3,3,-,10,4.59,Jung-gu,,
서   구,"1,396",678,167,114,113,1,53,511,259,246,13,252,48.57,Seo-gu,,
동   구,986,276,123,44,44,-,79,153,6,6,-,147,27.99,Dong-gu,,
영도구,"1,420",403,50,6,6,-,44,353,15,12,3,338,28.38,Yeongdo-gu,,
부산진구,"2,967","1,040",126,75,58,17,51,914,16,13,3,898,35.05,Busanjin-gu,,
동래구,"1,663",460,61,36,36,-,25,399,54,51,3,345,27.66,Dongnae-gu,,
남   구,"2,682",910,128,35,25,10,93,782,57,44,13,725,33.93,Nam-gu,,
북   구,"3,937","2,285",229,203,203,-,26,"2,056",150,150,-,"1,906",58.04,Buk-gu,,
해운대구,"5,150","2,866","1,324",609,606,3,715,"1,542",54,35,19,"1,488",55.65,Haeundae-gu,,
사하구,"4,177","1,371",168,76,73,3,92,"1,203",34,27,7,"1,169",32.82,Saha-gu,,
금정구,"6,526","4,120",550,392,392,-,158,"3,570",337,337,-,"3,233",63.13,Geumjeong-gu,,
강서구,"18,150","4,229","1,209",895,731,164,314,"3,020",66,44,22,"2,954",23.30,Gangseo-gu,,
연제구,"1,210",301,23,4,4,-,19,278,43,37,6,235,24.88,Yeonje-gu,,
수영구,"1,021",244,19,18,17,1,1,225,11,11,-,214,23.90,Su Yeong-gu,,
사상구,"3,610","1,248",245,215,211,4,30,"1,003",48,48,-,955,34.57,Sa sang-gu,,
기장군,"21,830","14,482","2,020","1,074","1,019",55,946,"12,462","1,188",33,"1,155","11,274",66.34,Gijang-gun,,
대구광역시 ,"88,349","48,338","2,505","1,460","1,456",4,"1,045","45,833","3,078","1,918","1,160","42,755",54.71,Daegu,,
중   구,706,-,-,-,-,-,-,-,-,-,-,-,-,Jung-gu,,
동   구,"18,214","11,385",452,106,105,1,346,"10,933",429,392,37,"10,504",62.51,Dong-gu,,
서   구,"1,732",206,6,1,1,-,5,200,8,8,-,192,11.89,Seo-gu,,
남   구,"1,743",678,8,-,-,-,8,670,27,26,1,643,38.90,Nam-gu,,
북   구,"9,399","4,602",335,30,30,-,305,"4,267",35,24,11,"4,232",48.96,Buk-gu,,
수성구,"7,654","3,771",219,31,31,-,188,"3,552",189,171,18,"3,363",49.27,Suseong-gu,,
달서구,"6,234","2,119",145,72,72,-,73,"1,974",134,119,15,"1,840",33.99,Dalseo-gu,,
달성군,"42,668","25,577","1,340","1,220","1,217",3,120,"24,237","2,256","1,178","1,078","21,981",59.94,Dalseong-gun,,
인천광역시 ,"106,523","39,373","4,576","2,677","2,521",156,"1,899","34,797","1,753",516,"1,237","33,044",36.96,Incheon,,
중   구,"14,036","3,266",691,632,608,24,59,"2,575",61,28,33,"2,514",23.27,Jung-gu,,
동   구,720,6,-,-,-,-,-,6,-,-,-,6,0.83,Dong-gu,,
미추홀구,"2,484",241,75,28,25,3,47,166,50,49,1,116,9.70,Michuhol-gu,,
연수구,"5,619",427,102,85,83,2,17,325,21,20,1,304,7.60,Yeonsu-gu,,
남동구,"5,745","1,261",364,84,83,1,280,897,69,62,7,828,21.95,Namdong-gu,,
부평구,"3,200",828,414,157,62,95,257,414,61,56,5,353,25.88,Bupyeong-gu,,
,,,,,,,,,,,,,,,,
"출처 : 산림청 산림빅데이터팀 (2020년 산림기본통계 개정판, 5년주기 공표), 국토교통부 (지적통계)",,,,,,,,"Source：Forest Big Data Team (2020 Forest Basic Statistics, Revised Edition, published on a five-year cycle), 
           Ministry of Land Infrastructure and Transport (cadastral statistics)",,,,,,,,
26  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  27,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율 (계속),,,,,,,,2020 Forest Area and % of Forest Area by Ownership (Cont'd),,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of
Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
County forest",,,,,
계양구,"4,557","1,146",318,76,72,4,242,828,53,40,13,775,25.15,Gyeyang-gu,,
서   구,"11,727","3,079",396,149,139,10,247,"2,683",116,66,50,"2,567",26.26,Seo-gu,,
강화군,"41,142","17,712","1,352",803,790,13,549,"16,360","1,085",187,898,"15,275",43.05,Ganghwa-gun ,,
옹진군,"17,293","11,407",864,663,659,4,201,"10,543",237,8,229,"10,306",65.96,Ongjin-gun,,
광주광역시 ,"50,113","18,944","1,791",671,657,14,"1,120","17,153",908,884,24,"16,245",37.80,Gwangju,,
동   구,"4,931","3,461",436,250,250,-,186,"3,025",194,193,1,"2,831",70.19,Dong-gu ,,
서   구,"4,776",791,36,15,15,-,21,755,23,21,2,732,16.56,Seo-gu,,
남   구,"6,099","1,795",67,51,48,3,16,"1,728",38,35,3,"1,690",29.43,Nam-gu,,
북   구,"12,027","5,398",354,149,148,1,205,"5,044",593,586,7,"4,451",44.88,Buk-gu,,
광산구,"22,279","7,499",898,206,196,10,692,"6,601",60,49,11,"6,541",33.66,GwangSan-gu,,
대전광역시 ,"53,966","29,764","5,586","3,558","3,519",39,"2,028","24,178","1,052","1,018",34,"23,126",55.15,Daejeon ,,
동   구,"13,668","8,744","1,924","1,823","1,818",5,101,"6,820",239,226,13,"6,581",63.97,Dong-gu,,
중   구,"6,218","3,423",485,454,444,10,31,"2,938",267,266,1,"2,671",55.05,Jung-gu,,
서   구,"9,553","5,115",446,397,389,8,49,"4,669",141,141,-,"4,528",53.54,Seo-gu,,
유성구,"17,655","9,631","2,074",561,551,10,"1,513","7,557",294,291,3,"7,263",54.55,Yuseong-gu,,
대덕구,"6,872","2,851",657,323,317,6,334,"2,194",111,94,17,"2,083",41.49,Daedeok-gu,,
울산광역시 ,"106,209","68,001","6,550","6,147","5,994",153,403,"61,451","2,165","1,941",224,"59,286",64.03,Ulsan,,
중   구,"3,701","1,422",25,12,12,-,13,"1,397",91,90,1,"1,306",38.42,Jung-gu,,
남   구,"7,351","1,757",60,30,26,4,30,"1,697",243,231,12,"1,454",23.90,Nam-gu,,
동   구,"3,607","1,872",82,54,54,-,28,"1,790",90,88,2,"1,700",51.90,Dong-gu,,
북   구,"15,735","11,094",559,468,342,126,91,"10,535",807,803,4,"9,728",70.51,Buk-gu,,
울주군,"75,814","51,856","5,824","5,583","5,560",23,241,"46,032",934,729,205,"45,098",68.40,Ulju-gun,,
세종특별자치시,"46,491","24,849","2,431","1,616","1,349",267,815,"22,418",432,432,-,"21,986",53.45,Sejong city,,
세종시,"46,491","24,849","2,431","1,616","1,349",267,815,"22,418",432,432,-,"21,986",53.45,Sejong-si,,
경 기 도 ,"1,019,527","512,105","96,643","65,933","63,498","2,435","30,710","415,462","42,969","32,144","10,825","372,493",50.23,Gyeonggi-do,,
수원시 ,"12,109","2,593",334,165,148,17,169,"2,259",248,97,151,"2,011",21.41,Suwon-si,,
성남시 ,"14,163","6,881","1,173",551,511,40,622,"5,708",198,4,194,"5,510",48.58,Seongnam-si,,
의정부시,"8,155","4,690",747,371,370,1,376,"3,943",590,31,559,"3,353",57.51,Uijeongbu-si,,
안양시 ,"5,847","2,993","1,347",32,31,1,"1,315","1,646",488,374,114,"1,158",51.19,Anyang-si,,
부천시 ,"5,345",955,78,10,8,2,68,877,145,-,145,732,17.87,Bucheon-si,,
광명시 ,"3,853","1,472",286,77,77,-,209,"1,186",97,-,97,"1,089",38.20,Gwangmyeong-si,,
,,,,,,,,,,,,,,,,
"출처 : 산림청 산림빅데이터팀 (2020년 산림기본통계 개정판, 5년주기 공표), 국토교통부 (지적통계)",,,,,,,,"Source：Forest Big Data Team (2020 Forest Basic Statistics, Revised Edition, published on a five-year cycle), 
           Ministry of Land Infrastructure and Transport (cadastral statistics)",,,,,,,,
28  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  29,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율 (계속),,,,,,,,2020 Forest Area and % of Forest Area by Ownership (Cont'd),,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of
Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
County forest",,,,,
평택시,"45,824","7,762",275,102,81,21,173,"7,487",283,121,162,"7,204",16.94,Pyeongtaek-si,,
동두천시,"9,567","6,289","1,791",590,548,42,"1,201","4,498",139,14,125,"4,359",65.74,Dongducheon-si,,
안산시,"15,633","6,205",523,196,160,36,327,"5,682",793,226,567,"4,889",39.69,Ansan-si,,
고양시,"26,810","9,236","2,558","1,405","1,356",49,"1,153","6,678",126,52,74,"6,552",34.45,Goyang-si,,
과천시,"3,587","2,327",721,14,14,-,707,"1,606",815,741,74,791,64.87,Gwacheon-si,,
구리시,"3,333","1,284",393,97,96,1,296,891,83,70,13,808,38.52,Guri-si,,
남양주시,"45,814","30,822","3,148","2,177","2,161",16,971,"27,674","3,907","3,716",191,"23,767",67.28,Namyangju-si,,
오산시,"4,271","1,074",16,7,5,2,9,"1,058",29,2,27,"1,029",25.15,Osan-si,,
시흥시,"13,968","4,156",448,157,151,6,291,"3,708",42,6,36,"3,666",29.75,Siheung-si,,
군포시,"3,642","1,663",196,26,26,-,170,"1,467",396,382,14,"1,071",45.66,Gunpo-si,,
의왕시,"5,403","3,392",593,186,180,6,407,"2,799",360,306,54,"2,439",62.78,Uiwang-si,,
하남시,"9,299","4,810",520,283,281,2,237,"4,290",69,22,47,"4,221",51.73,Hanam-si,,
용인시,"59,123","29,908","2,364","1,541","1,441",100,823,"27,544",723,139,584,"26,821",50.59,Yongin-si,,
파주시,"67,386","26,947","5,225","1,768","1,661",107,"3,457","21,722",531,172,359,"21,191",39.99,Paju-si,,
이천시,"46,143","16,460","1,579",860,780,80,719,"14,881",312,38,274,"14,569",35.67,Icheon-si,,
안성시,"55,346","23,711","1,749","1,522","1,251",271,227,"21,962",797,130,667,"21,165",42.84,Anseong-si,,
김포시,"27,661","6,714",980,337,308,29,643,"5,734",238,39,199,"5,496",24.27,Gimpo-si,,
화성시,"69,818","17,350","2,230","1,411",990,421,819,"15,120",164,66,98,"14,956",24.85,Hwaseong-si,,
광주시,"43,099","28,194","4,612","2,590","2,159",431,"2,022","23,582",537,209,328,"23,045",65.42,Gwangju-si,,
양주시,"31,043","15,972","3,646","1,850","1,831",19,"1,796","12,326",151,11,140,"12,175",51.45,Yangju-si,,
포천시,"82,691","53,199","10,308","5,688","5,569",119,"4,620","42,891","4,300","3,080","1,220","38,591",64.33,Pocheon-si,,
여주시,"60,826","28,420","1,457","1,220",974,246,237,"26,963","1,317",109,"1,208","25,646",46.72,Yeoju-si,,
연천군,"67,631","36,954","12,468","7,488","7,289",199,"4,980","24,486",282,39,243,"24,204",54.64,Yeoncheon-gun,,
가평군,"84,366","68,332","9,200","8,401","8,353",48,799,"59,132","22,665","21,854",811,"36,467",80.99,Gapyeong-gun,,
양평군,"87,769","61,340","25,678","24,811","24,688",123,867,"35,662","2,144",94,"2,050","33,518",69.89,Yangpyeong-gun,,
강 원 도 ,"1,682,968","1,366,644","790,222","765,338","759,416","5,922","24,884","576,422","94,389","28,460","65,929","482,033",81.20,Gangwon-do,,
춘천시,"111,640","79,716","30,247","28,654","28,614",40,"1,593","49,469","15,925","11,262","4,663","33,544",71.40,Chuncheon-si,,
원주시,"86,823","60,704","9,092","8,452","8,441",11,640,"51,612","12,647",119,"12,528","38,965",69.92,Wonju-si,,
강릉시,"104,078","82,654","45,824","45,545","45,411",134,279,"36,830","3,678",392,"3,286","33,152",79.42,Gangneung-si,,
동해시,"18,021","13,635","4,477","4,388","4,377",11,89,"9,158",988,17,971,"8,170",75.66,Donghae-si,,
태백시,"30,349","26,713","17,920","17,816","17,717",99,104,"8,793","2,187","1,906",281,"6,606",88.02,Taebaek-si,,
속초시,"10,576","7,957","1,848","1,809","1,806",3,39,"6,109",138,13,125,"5,971",75.24,Sokcho-si,,
,,,,,,,,,,,,,,,,
"출처 : 산림청 산림빅데이터팀 (2020년 산림기본통계 개정판, 5년주기 공표), 국토교통부 (지적통계)",,,,,,,,"Source：Forest Big Data Team (2020 Forest Basic Statistics, Revised Edition, published on a five-year cycle), 
           Ministry of Land Infrastructure and Transport (cadastral statistics)",,,,,,,,
30  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  31,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율 (계속),,,,,,,,2020 Forest Area and % of Forest Area by Ownership (Cont'd),,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
