"矫痢","楷飞措喊(1)",楷飞措喊(2),醚 拌,醚 拌,巢磊,巢磊,咯磊,咯磊
"矫痢","楷飞措喊(1)",楷飞措喊(2),乞闭家垫,吝困家垫,乞闭家垫,吝困家垫,乞闭家垫,吝困家垫
"2019","醚 拌",家拌,309.0488,233.9011,360.2495,282.7138,236.037,195.8073
"2019","19技 捞窍",家拌,84.3,52.129,90.0014,56.6,78.6023,50
"2019","20~29技",家拌,220.8721,211.4567,228.9829,222.2972,212.1213,203.305
"2019","20~29技",20~24技,168.1785,178.6766,171.0764,179.9146,165.5985,177.8493
"2019","20~29技",25~29技,251.4482,236.6143,257.9243,246.5088,243.6338,226.2757
"2019","30~39技",家拌,335.2607,299.5433,361.6894,328.5152,293.8222,251.777
"2019","30~39技",30~34技,311.589,285.2749,328.558,304.3948,286.2575,254.773
"2019","30~39技",35~39技,356.0691,317.1272,389.7787,354.3542,300.8587,248.8235
"2019","40~49技",家拌,380.9579,298.5487,442.3191,381.5923,286.2699,210.7997
"2019","40~49技",40~44技,379.3381,316.6345,430.1512,383.0371,298.9921,222.501
"2019","40~49技",45~49技,382.3808,280.2014,453.2012,380.0015,275.4002,204.4395
"2019","50~59技",家拌,357.2768,235.9178,435.4389,321.6654,237.7954,189.9004
"2019","50~59技",50~54技,375.3285,250.0007,457.9624,351.1118,251.7158,197.0118
"2019","50~59技",55~59技,337.0874,220.0007,410.7015,293.8098,221.7876,182.0012
"2019","60~69技",家拌,234.6441,176.152,283.9378,198.3684,156.7398,139.0011
"2019","60~69技",60~64技,253.7938,184.3068,304.2864,210,172.2511,155.4444
"2019","60~69技",65~69技,198.0205,157.5,244.0587,181.913,128.1872,111.249
"2019","70技 捞惑",家拌,125.4553,60.3436,182.585,126.1805,65.9501,27
"2020","醚 拌",家拌,320.1925,242.0846,371.3537,290.543,247.18,202.4163
"2020","19技 捞窍",家拌,95.7724,60.5595,102.1928,69.7261,88.9807,56
"2020","20~29技",家拌,229.1632,217.7395,238.9591,229.0642,218.6439,209.166
"2020","20~29技",20~24技,172.9728,183,179.6949,186.9345,167.0412,180.8945
"2020","20~29技",25~29技,258.2224,240.9958,265.4093,250.5545,249.6772,231.4005
"2020","30~39技",家拌,344.1525,305,370.0522,333.0539,303.8635,261.0861
"2020","30~39技",30~34技,318.6196,290.2777,335.6562,309.0657,293.4391,261.7358
"2020","30~39技",35~39技,367.8142,324.9989,400.7145,360.0068,314.1238,260.2108
"2020","40~49技",家拌,392.9947,309.999,453.7988,391.4279,299.729,221.125
"2020","40~49技",40~44技,391.779,328.6985,442.2464,391.6536,312.1627,235.0818
"2020","40~49技",45~49技,394.1091,293.0013,464.6148,391.1778,288.6965,212.8382
"2020","50~59技",家拌,371.1708,246.2967,449.2775,332.877,252.091,198.5489
"2020","50~59技",50~54技,388.4035,260.5707,471.3082,363.0598,265.1091,203.4716
"2020","50~59技",55~59技,351.528,230.275,424.6898,301.6664,236.7666,190.8172
"2020","60~69技",家拌,243.5187,180.2154,292.7454,202.6054,165.7128,144.6005
"2020","60~69技",60~64技,263.2257,189.9998,314.4361,218.0598,180.622,160
"2020","60~69技",65~69技,207.0894,162.87,251.7381,188.1179,139.1059,119.9992
"2020","70技 捞惑",家拌,135.2706,74.9995,189.4755,125.0012,76.7104,54
"2021","醚 拌",家拌,333.4532,250.0007,388.7742,300,256.4129,209.6743
"2021","19技 捞窍",家拌,89.3444,55.7629,94.6137,58.05,84.4179,54
"2021","20~29技",家拌,240.0591,226.4521,250.5845,238.786,228.9792,217.1598
"2021","20~29技",20~24技,179.5712,189.0396,185.7674,192.0204,174.2408,187.4366
"2021","20~29技",25~29技,271.2126,250.2349,279.2376,261.0298,261.8379,239.9997
"2021","30~39技",家拌,360.7363,314.5083,388.9267,343.5958,318.3947,271.2406
"2021","30~39技",30~34技,333.4533,299.9023,351.9068,319.9347,307.1634,271.1859
"2021","30~39技",35~39技,387.9291,335.6905,424.2926,372.6407,330.3252,271.3
"2021","40~49技",家拌,413.5744,325.1085,478.3161,406.4001,315.9611,233.9468
"2021","40~49技",40~44技,413.4183,343.3251,468.8464,406.829,327.6044,248.1848
"2021","40~49技",45~49技,413.7254,305.5963,487.6654,405.6397,305.048,223.9914
"2021","50~59技",家拌,387.6091,256,472.452,349.9985,261.9219,204.1202
"2021","50~59技",50~54技,406.5938,272.8679,496.4519,382.4622,276.8581,211.0704
"2021","50~59技",55~59技,365.3051,239.9997,444.8855,317.3918,243.7757,197.7083
"2021","60~69技",家拌,250.5603,186.004,303.7785,210,169.0844,147.8372
"2021","60~69技",60~64技,272.8499,196.6681,328.5203,228.8368,186.0191,166.4765
"2021","60~69技",65~69技,211.0701,167.4985,259.0407,193.0972,139.9971,120
"2021","70技 捞惑",家拌,137.8538,71.7164,197.1329,138,71.9751,30.6
"2022","醚 拌",家拌,353.3541,267.3473,413.9669,320.0715,270.9268,222.501
"2022","19技 捞窍",家拌,91.6305,58.4,97.6377,59.8,86.1742,56.8853
"2022","20~29技",家拌,255.3912,241.6118,268.0256,254.7974,241.9514,230.4428
"2022","20~29技",20~24技,190.6526,199.2565,199.2194,202.6875,183.096,197.2734
"2022","20~29技",25~29技,287.3877,265.5679,297.619,277.6525,275.4462,253.4986
"2022","30~39技",家拌,378.9399,329.2817,408.9736,358.9045,334.7612,286.7562
"2022","30~39技",30~34技,351.4452,314.5844,372.1486,335.8395,322.3885,285.9288
"2022","30~39技",35~39技,408.5413,350.8836,447.0798,389.9995,348.8829,287.985
"2022","40~49技",家拌,437.7402,348.9157,507.7712,432.525,335.0136,250.2714
"2022","40~49技",40~44技,435.2118,362.369,494.9419,428.3001,344.3691,264.92
"2022","40~49技",45~49技,440.3038,332.661,521.1684,438.1734,325.9279,240.0848
"2022","50~59技",家拌,414.6109,278.8113,509.1037,385.7138,279.9035,218.5042
"2022","50~59技",50~54技,433.6102,296.1519,530.4755,413.7488,296.2123,226.0171
"2022","50~59技",55~59技,392.078,260.4001,483.8715,351.7079,260.4362,209.9997
"2022","60~69技",家拌,270.4015,199.9227,331.0339,230.8443,182.2318,158.7324
"2022","60~69技",60~64技,293.6785,209.8263,357.3304,251.3238,199.5432,179.9998
"2022","60~69技",65~69技,230.4713,182.3388,285.0733,207.9557,153.3264,131.3726
"2022","70技 捞惑",家拌,153.1932,81.605,216.5207,154.3463,82.7383,45.8
"2023","醚 拌",家拌,363.0686,278.3338,426.2573,332.81,278.5908,231.7324
"2023","19技 捞窍",家拌,96.1913,62.4424,103.536,65.0126,89.6157,60.3041
"2023","20~29技",家拌,262.9341,251.8348,276.8126,266.7572,248.0676,239.3244
"2023","20~29技",20~24技,196.4582,206.5839,208.1874,213.9691,186.04,202.0001
"2023","20~29技",25~29技,294.2736,275.1796,305.0355,287.7843,281.6788,262.5993
"2023","30~39技",家拌,385.789,338.1056,415.752,367.5641,342.2302,296.7085
"2023","30~39技",30~34技,357.5475,323.2166,377.9672,344.2163,328.9537,295.0417
"2023","30~39技",35~39技,417.8128,361.6663,457.2206,401.065,358.0186,299.4034
"2023","40~49技",家拌,451.4008,364.559,523.1524,451.4442,347.7946,264.0805
"2023","40~49技",40~44技,447.7967,376.6161,510.4235,446.7965,355.0371,277.3787
"2023","40~49技",45~49技,455.2154,349.9985,536.9159,458.294,340.3619,253.1883
"2023","50~59技",家拌,428.9994,293.2106,527.1708,406.0868,292.496,229.9987
"2023","50~59技",50~54技,447.7856,310.0006,546.3386,435.7066,310.755,238.561
"2023","50~59技",55~59技,407.6261,275,505.3638,374.712,271.7216,221.3482
"2023","60~69技",家拌,281.8988,209.0446,346.9509,246.0009,190.5871,168.1312
"2023","60~69技",60~64技,306.2165,220.2866,373.9562,267.1374,209.3445,190.8342
"2023","60~69技",65~69技,243.5031,194.3686,303.4503,220.9071,161.7862,141.4618
"2023","70技 捞惑",家拌,156.1808,79.9137,223.7551,157.3545,84.8603,45.9
