,시도,일시,fire,평균기온(°C),최고기온(°C),일강수량(mm),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),최저기온(°C)
0,경북,2016-01-03,1,4.3769230769230765,16.3,0.0,72.41538461538461,6.5,1.1846153846153846,-6.6
1,경북,2016-01-04,0,5.1923076923076925,12.9,0.0,50.80769230769231,8.3,2.715384615384615,-6.2
2,경북,2016-01-05,0,0.4230769230769231,7.0,0.0,33.07692307692308,8.1,2.646153846153846,-7.0
3,경북,2016-01-06,1,0.0846153846153846,7.0,0.0,46.51538461538462,9.6,2.976923076923077,-9.8
4,경북,2016-01-07,0,-0.030769230769230795,6.4,0.0,44.19230769230769,8.1,3.0923076923076924,-9.2
5,경북,2016-01-08,1,-1.0846153846153845,5.9,0.0,43.684615384615384,9.9,3.223076923076923,-10.3
6,경북,2016-01-09,1,-0.21538461538461537,7.3,0.0,51.107692307692304,7.8,2.276923076923077,-12.0
7,경북,2016-01-10,0,1.3692307692307693,8.1,0.0,50.76923076923077,8.3,2.3692307692307693,-6.9
8,경북,2016-01-11,0,-1.2,7.0,0.0,36.48461538461539,7.9,2.3076923076923075,-11.7
9,경북,2016-01-12,0,-2.630769230769231,7.1,0.0,38.01538461538461,8.3,2.4153846153846152,-15.2
10,경북,2016-01-13,0,-1.482051282051282,3.9,1.1,54.66923076923077,9.9,2.9923076923076923,-11.8
11,경북,2016-01-14,0,-1.853846153846154,4.7,0.0,46.94615384615384,8.8,2.4769230769230766,-9.0
12,경북,2016-01-15,0,-1.776923076923077,7.8,0.2,63.42307692307692,6.3,1.0846153846153845,-11.3
13,경북,2016-01-16,0,-0.9000000000000001,9.3,0.0,63.853846153846156,5.2,1.0461538461538462,-12.6
14,경북,2016-01-17,1,0.7307692307692307,7.4,38.7,82.13846153846154,3.4,0.7769230769230769,-7.1
15,경북,2016-01-18,0,-1.9,5.6,4.7,61.00769230769231,13.0,4.523076923076923,-10.7
16,경북,2016-01-19,0,-8.323076923076924,-3.4,0.3,41.26153846153846,14.3,6.1461538461538465,-13.9
17,경북,2016-01-20,0,-7.9,-0.6,0.0,47.392307692307696,9.8,2.9692307692307693,-17.6
18,경북,2016-01-21,0,-5.3538461538461535,2.4,0.0,42.63076923076923,7.8,2.353846153846154,-15.4
19,경북,2016-01-22,0,-4.2384615384615385,4.0,0.0,35.86153846153846,8.1,2.746153846153846,-17.4
20,경북,2016-01-23,0,-7.0,-0.9,0.0,29.423076923076923,9.2,3.8461538461538463,-15.4
21,경북,2016-01-24,0,-11.707692307692307,-5.7,0.2,41.29230769230769,10.6,4.007692307692308,-19.3
22,경북,2016-01-25,0,-6.907692307692307,1.1,0.0,47.276923076923076,8.8,3.523076923076923,-18.6
23,경북,2016-01-26,0,-2.1794871794871793,4.9,0.2,56.603846153846156,10.8,2.9538461538461536,-14.6
24,경북,2016-01-27,0,0.14615384615384622,8.2,0.0,49.49230769230769,9.9,2.269230769230769,-10.8
25,경북,2016-01-28,0,-0.9230769230769231,6.6,34.9,64.25384615384615,6.1,0.9230769230769231,-12.3
26,경북,2016-01-29,0,1.5615384615384615,6.5,113.5,89.48461538461538,10.2,1.5,-2.2
27,경북,2016-01-30,0,2.146153846153846,6.7,9.299999999999999,87.95384615384616,9.2,1.2076923076923078,-3.8
